gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.11542288557213931,0.001275098084468036,1,0,0,1,0,0,0,0,1,0,0.0
0,0,0,0,0.46478873239436624,1,0,1,0,1,0,0,0,0,0.3850746268656716,0.21586660512347106,1,0,0,0,1,0,0,0,0,1,0.0
0,0,0,0,0.014084507042253521,1,0,1,1,0,0,0,0,1,0.35422885572139307,0.010310408492960998,1,0,0,1,0,0,0,0,0,1,1.0
0,0,0,0,0.619718309859155,0,0,1,0,1,1,0,0,0,0.23930348258706463,0.21024117239787676,1,0,0,0,1,0,1,0,0,0,0.0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.5218905472636816,0.015330025386568198,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.09859154929577466,1,1,0,0,1,0,1,1,1,0.8099502487562189,0.09251096238172168,0,1,0,1,0,0,0,0,1,0,1.0
0,0,0,1,0.295774647887324,1,1,0,1,0,0,1,0,1,0.7049751243781094,0.22277867528271408,0,1,0,1,0,0,0,1,0,0,0.0
1,0,0,0,0.1267605633802817,0,0,1,0,0,0,0,0,0,0.11442786069651739,0.032667897530579276,1,0,0,1,0,0,0,0,0,1,0.0
1,0,1,0,0.3802816901408451,1,1,0,0,1,1,1,1,1,0.8611940298507462,0.3493249480729287,0,1,0,1,0,0,0,0,1,0,1.0
0,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.3771144278606965,0.4003173321024694,1,0,0,0,1,0,1,0,0,0,0.0
0,0,1,1,0.16901408450704225,1,0,1,0,0,0,0,0,1,0.3154228855721393,0.06561850911608587,1,0,0,1,0,0,0,0,0,1,0.0
0,0,0,0,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.006965174129353213,0.035541195476575124,0,0,1,0,0,1,0,1,0,0,0.0
0,0,1,0,0.8028169014084507,1,1,0,0,1,0,1,1,0,0.8169154228855721,0.6533925686591276,0,1,0,0,1,0,0,1,0,0,0.0
0,0,0,0,0.676056338028169,1,1,0,1,1,0,1,1,1,0.8502487562189055,0.578986845141934,0,1,0,1,0,0,1,0,0,0,1.0
0,0,0,0,0.33802816901408456,1,0,1,0,1,1,1,1,1,0.8681592039800995,0.30778329102238633,0,1,0,1,0,0,0,0,1,0,0.0
1,0,1,1,0.9577464788732395,1,1,1,1,1,1,1,1,0,0.945273631840796,0.9088795291945534,0,1,0,0,0,1,0,1,0,0,0.0
1,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.11587237479806141,0,0,1,0,1,0,0,0,0,1,0.0
0,0,0,1,0.9859154929577465,1,1,1,0,1,0,1,1,0,0.8800995024875623,0.8496942072467113,0,1,0,0,0,1,1,0,0,0,0.0
1,0,1,1,0.1267605633802817,1,0,0,0,1,1,0,0,0,0.36766169154228856,0.05879875375028849,1,0,0,1,0,0,0,1,0,0,1.0
1,0,0,0,0.28169014084507044,1,0,0,1,1,0,0,1,1,0.7144278606965173,0.2127971382414032,0,1,0,1,0,0,0,0,1,0,0.0
